from,relation,to,notes
packages/engine/kaldra_engine/tw369/tw369_integration.py,depends_on,packages/engine/kaldra_engine/tw369/advanced_drift_models.py,Uses drift model functions
packages/engine/kaldra_engine/tw369/tw369_integration.py,depends_on,packages/engine/kaldra_engine/tw369/drift_history.py,Uses DriftHistory
packages/engine/kaldra_engine/tw369/tw369_integration.py,depends_on,packages/engine/kaldra_engine/tw369/drift_topology.py,Uses TW369Topology
packages/engine/kaldra_engine/kindras/kindra_engine.py,depends_on,packages/engine/kaldra_engine/unification/states/unified_state.py,Uses KindraContext/KindraLayerScores
packages/engine/kaldra_engine/kindras/kindra_engine.py,depends_on,packages/engine/kaldra_engine/kindras/loaders.py,Uses load_layer_vectors/load_layer_mapping
packages/engine/kaldra_engine/kindras/kindra_engine.py,depends_on,packages/engine/kaldra_engine/kindras/llm_adapter.py,Uses KindraLLMScorer
packages/engine/kaldra_engine/meta/aurelius.py,depends_on,packages/engine/kaldra_engine/meta/types.py,Uses MetaInput
packages/engine/kaldra_engine/meta/aurelius.py,depends_on,packages/engine/kaldra_engine/unification/states/unified_state.py,Uses KindraContext
packages/engine/kaldra_engine/meta/aurelius.py,depends_on,packages/engine/kaldra_engine/tw369/tw369_integration.py,Uses TWState
packages/engine/kaldra_engine/meta/aurelius.py,depends_on,packages/engine/kaldra_engine/common/unified_signal.py,Uses MetaSignal
packages/engine/kaldra_engine/meta/engine_router.py,configures,packages/engine/kaldra_engine/apps/alpha/,Routes alpha domain
packages/engine/kaldra_engine/meta/engine_router.py,configures,packages/engine/kaldra_engine/apps/geo/,Routes geo domain
packages/engine/kaldra_engine/meta/engine_router.py,configures,packages/engine/kaldra_engine/apps/product/,Routes product domain
packages/engine/kaldra_engine/meta/engine_router.py,configures,packages/engine/kaldra_engine/apps/safeguard/,Routes safeguard domain
packages/engine/kaldra_engine/story/story_aggregator.py,depends_on,packages/engine/kaldra_engine/story/story_buffer.py,Uses StoryBuffer/StoryEvent
packages/engine/kaldra_engine/archetypes/delta144_engine.py,reads_from,schema/archetypes/archetypes.core.json,Loads archetype definitions
packages/engine/kaldra_engine/archetypes/delta144_engine.py,reads_from,schema/archetypes/delta144_states.json,Loads 144 states
packages/engine/kaldra_engine/archetypes/delta144_engine.py,reads_from,schema/archetypes/modifiers.json,Loads 59 modifiers
packages/engine/kaldra_engine/archetypes/delta144_engine.py,reads_from,schema/archetypes/polarities.json,Loads 46 polarities
packages/engine/kaldra_engine/archetypes/delta144_engine.py,depends_on,packages/engine/kaldra_engine/archetypes/delta12_vector.py,Uses Delta12Vector
packages/engine/kaldra_engine/archetypes/delta144_engine.py,depends_on,packages/engine/kaldra_engine/core/embedding_generator.py,Uses EmbeddingGenerator
packages/engine/kaldra_engine/kindras/loaders.py,reads_from,schema/kindras/,Loads layer vectors and mappings
packages/engine/kaldra_engine/tw369/tw369_integration.py,reads_from,schema/tw369/tw369_default_config.json,Loads TW config
packages/engine/kaldra_engine/tw369/tw369_integration.py,reads_from,schema/tw369/drift_parameters.json,Loads drift parameters
kaldra_api/main.py,exposes_api,kaldra_api/routers/router_engine.py,/engine endpoints
kaldra_api/main.py,exposes_api,kaldra_api/routers/router_alpha.py,/alpha endpoints
kaldra_api/main.py,exposes_api,kaldra_api/routers/router_geo.py,/geo endpoints
kaldra_api/main.py,exposes_api,kaldra_api/routers/router_product.py,/product endpoints
kaldra_api/main.py,exposes_api,kaldra_api/routers/router_safeguard.py,/safeguard endpoints
kaldra_api/main.py,exposes_api,kaldra_api/routers/router_news.py,/kaldra endpoints
kaldra_api/main.py,exposes_api,kaldra_api/routers/router_v3_1.py,/api v3.1 endpoints
kaldra_api/main.py,exposes_api,kaldra_api/routers/router_signals.py,/signals Supabase
kaldra_api/main.py,exposes_api,kaldra_api/routers/router_story_events.py,/story-events
kaldra_api/routers/router_engine.py,depends_on,packages/engine/kaldra_engine/unification/kernel.py,Calls UnifiedKernel
kaldra_api/routers/router_v3_1.py,depends_on,packages/engine/kaldra_engine/unification/kernel.py,Uses v3.1 kernel interface
kaldra_data/pipeline/pipeline_alpha.py,feeds,packages/engine/kaldra_engine/apps/alpha/,Provides data to Alpha app
kaldra_data/pipeline/pipeline_geo.py,feeds,packages/engine/kaldra_engine/apps/geo/,Provides data to Geo app
kaldra_data/pipeline/pipeline_product.py,feeds,packages/engine/kaldra_engine/apps/product/,Provides data to Product app
kaldra_data/pipeline/pipeline_safeguard.py,feeds,packages/engine/kaldra_engine/apps/safeguard/,Provides data to Safeguard app
tests/core/,tests,packages/engine/kaldra_engine/core/,Core engine tests
tests/tw369/,tests,packages/engine/kaldra_engine/tw369/,TW369 engine tests
tests/kindras/,tests,packages/engine/kaldra_engine/kindras/,Kindras engine tests
tests/archetypes/,tests,packages/engine/kaldra_engine/archetypes/,Archetypes engine tests
tests/meta/,tests,packages/engine/kaldra_engine/meta/,Meta engines tests
tests/story/,tests,packages/engine/kaldra_engine/story/,Story engine tests
tests/unification/,tests,packages/engine/kaldra_engine/unification/,Unification tests
tests/explainability/,tests,packages/engine/kaldra_engine/explainability/,Explainability tests
tests/bias/,tests,packages/engine/kaldra_engine/bias/,Bias engine tests
tests/tau/,tests,packages/engine/kaldra_engine/tau/,Tau layer tests
tests/safeguard/,tests,packages/engine/kaldra_engine/safeguard/,Safeguard engine tests
tests/integration/,tests,packages/engine/kaldra_engine/,Integration tests across engines
tests/e2e/,tests,kaldra_api/,End-to-end API tests
tests/api/,tests,kaldra_api/,API unit tests
tests/apps/,tests,packages/engine/kaldra_engine/apps/,App tests
infra/docker/,runs_as,kaldra_api/main.py,Docker container runs API
infra/k8s/,configures,infra/docker/,K8s deploys Docker containers
4iam_frontend/,renders_ui,kaldra_api/,Frontend consumes API
4iam_frontend/visual_engine/,renders_ui,kaldra_api/routers/router_engine.py,Visualizes engine output
4iam_frontend/design_system/,owned_by,4iam_frontend/,Design tokens for frontend
packages/engine/kaldra_engine/unification/exoskeleton/,configures,packages/engine/kaldra_engine/unification/kernel.py,Presets configure kernel modes
packages/engine/kaldra_engine/unification/pipeline/,depends_on,packages/engine/kaldra_engine/core/,Pipeline stages call core
packages/engine/kaldra_engine/unification/pipeline/,depends_on,packages/engine/kaldra_engine/meta/,Pipeline stages call meta
packages/engine/kaldra_engine/unification/pipeline/,depends_on,packages/engine/kaldra_engine/story/,Pipeline stages call story
packages/engine/kaldra_engine/unification/pipeline/,depends_on,packages/engine/kaldra_engine/safeguard/,Pipeline stages call safeguard
packages/engine/kaldra_engine/learning/,feeds,packages/engine/kaldra_engine/kindras/,Provides learned weights to Kindras
packages/engine/kaldra_engine/learning/,feeds,packages/engine/kaldra_engine/archetypes/,Provides mapping to Delta144
kaldra_api/clients/,depends_on,supabase/,Supabase client integration
kaldra_api/routers/router_signals.py,writes_to,supabase/,Writes signals to Supabase
kaldra_api/routers/router_story_events.py,writes_to,supabase/,Writes story events to Supabase
